VPASSガイド 様,4980-XXXX-XXXX-1234,,SMBCCARDクラシック☆,,,,,,,
2026/6/21,JR EAST,1860,1,1,1860,,,,,
2026/6/22,SEVEN-ELEVEN,740,1,1,740,,,,,
2026/6/23,LAWSON,1700,1,1,1700,,,,,
2026/6/23,NTT EAST,4950,1,1,4950,,,,,
2026/6/23,RAKUTEN CARD,88000,1,1,88000,,,,,
2026/6/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/6/25,NTT DOCOMO,6331,1,1,6331,,,,,
2026/6/25,OISIX,4430,1,1,4430,,,,,
2026/6/27,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/6/28,SEIYU,2660,1,1,2660,,,,,
2026/6/28,TEPCO,6811,1,1,6811,,,,,
2026/6/28,TOKYO GAS CO LTD,3552,1,1,3552,,,,,
2026/7/1,LIFE,4740,1,1,4740,,,,,
2026/7/2,YOSHINOYA,1150,1,1,1150,,,,,
2026/7/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/7/3,TOWNKAI,500,1,1,500,,,,,
2026/7/4,DAZN*7F3A21,4200,1,1,4200,,,,,
2026/7/4,OISIX,7120,1,1,7120,,,,,
2026/7/6,MICROSOFT*MICROSOFT 365,21300,1,1,21300,,,,,
2026/7/7,LAWSON,1430,1,1,1430,,,,,
2026/7/8,MOBILE SUICA,6110,1,1,6110,,,,,
2026/7/9,JCOM KUMIN,6600,1,1,6600,,,,,
2026/7/9,U-NEXT,2189,1,1,2189,,,,,
2026/7/11,OISIX,5650,1,1,5650,,,,,
2026/7/12,ENEOS,6580,1,1,6580,,,,,
2026/7/12,NETFLIX.COM,1490,1,1,1490,,,,,
2026/7/13,SEIYU,3260,1,1,3260,,,,,
2026/7/15,APPLE.COM/BILL,450,1,1,450,,,,,
2026/7/16,MATSUMOTO KIYOSHI,2830,1,1,2830,,,,,
2026/7/17,SAIZERIYA,960,1,1,960,,,,,
2026/7/17,YOKOHAMA WATERWORKS,5110,1,1,5110,,,,,
2026/7/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/7/18,OISIX,7370,1,1,7370,,,,,
2026/7/20,AMAZON.CO.JP,11780,1,1,11780,,,,,
2026/7/21,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/7/23,MOBILE SUICA,8070,1,1,8070,,,,,
2026/7/23,NTT EAST,4950,1,1,4950,,,,,
2026/7/23,RAKUTEN CARD,88000,1,1,88000,,,,,
2026/7/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/7/25,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/7/25,NTT DOCOMO,6017,1,1,6017,,,,,
2026/7/26,JR EAST,2250,1,1,2250,,,,,
2026/7/26,SUSHIRO,4620,1,1,4620,,,,,
2026/7/27,AMAZON.CO.JP,6410,1,1,6410,,,,,
2026/7/28,TEPCO,9472,1,1,9472,,,,,
2026/7/28,TOKYO GAS CO LTD,3728,1,1,3728,,,,,
2026/8/2,SUSHIRO,5120,1,1,5120,,,,,
2026/8/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/8/3,TOWNKAI,500,1,1,500,,,,,
2026/8/4,DAZN*7F3A21,4200,1,1,4200,,,,,
2026/8/4,OISIX,5500,1,1,5500,,,,,
2026/8/7,RAKUTEN ICHIBA,4470,1,1,4470,,,,,
2026/8/8,U-NEXT,2189,1,1,2189,,,,,
2026/8/9,AMAZON.CO.JP,3960,1,1,3960,,,,,
2026/8/9,JCOM KUMIN,6600,1,1,6600,,,,,
2026/8/9,TOHO CINEMAS,4000,1,1,4000,,,,,
2026/8/11,OISIX,7840,1,1,7840,,,,,
2026/8/12,AEON STYLE,6040,1,1,6040,,,,,
2026/8/13,NETFLIX.COM,1490,1,1,1490,,,,,
2026/8/14,FAMILY MART,1930,1,1,1930,,,,,
2026/8/15,APPLE.COM/BILL,450,1,1,450,,,,,
2026/8/16,JR EAST,1050,1,1,1050,,,,,
2026/8/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/8/18,OISIX,5340,1,1,5340,,,,,
2026/8/21,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/8/22,APPLE.COM/BILL,650,1,1,650,,,,,
2026/8/22,SEIYU,7840,1,1,7840,,,,,
2026/8/23,NTT EAST,4950,1,1,4950,,,,,
2026/8/23,RAKUTEN CARD,88000,1,1,88000,,,,,
2026/8/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/8/25,AMAZON.CO.JP,9440,1,1,9440,,,,,
2026/8/25,OISIX,6890,1,1,6890,,,,,
2026/8/26,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/8/26,NTT DOCOMO,6425,1,1,6425,,,,,
2026/8/27,RAKUTEN ICHIBA,8810,1,1,8810,,,,,
2026/8/28,TEPCO,10836,1,1,10836,,,,,
2026/8/28,TOKYO GAS CO LTD,4016,1,1,4016,,,,,
,,,,,1452916,,,,,
